otu	Domain	Supergroup	Division	Class	Order	Family	Genus	Symportal type
C21	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	C21
C50v	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	C50v
C50bz	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	C50bz
1079331_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	1079331_C
298_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	298_C
21223_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	21223_C
2622378_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	2622378_C
1966807_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	1966807_C
41145_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	41145_C
40872_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	40872_C
2622356_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	2622356_C
2622422_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	2622422_C
2622368_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	2622368_C
C50aq	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	C50aq
920943_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	920943_C
2622446_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	2622446_C
C3vt	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	C3vt
21274_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	21274_C
2622393_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	2622393_C
2622399_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	2622399_C
1662256_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	1662256_C
2622365_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	2622365_C
C50ax	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	C50ax
2622377_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	2622377_C
C3bp	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	C3bp
C50ar	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	C50ar
2622374_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	2622374_C
2622349_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	2622349_C
2622416_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	2622416_C
2622385_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	2622385_C
2622389_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	2622389_C
2622359_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	2622359_C
C1c	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	C1c
C42.2	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	C42.2
2622439_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	2622439_C
2622395_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	2622395_C
C3jq	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	C3jq
2622382_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	2622382_C
21210_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	21210_C
2622380_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	2622380_C
25851_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	25851_C
2622344_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	2622344_C
C8	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	C8
2622472_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	2622472_C
2622450_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	2622450_C
2622347_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	2622347_C
C50be	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	C50be
C50y	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	C50y
2622444_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	2622444_C
20969_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	20969_C
2622386_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	2622386_C
2622438_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	2622438_C
C50bo	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	C50bo
2622353_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	2622353_C
2622406_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	2622406_C
49260_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	49260_C
C50av	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	C50av
2622440_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	2622440_C
41100_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	41100_C
2622456_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	2622456_C
2622445_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	2622445_C
C3vy	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	C3vy
2622355_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	2622355_C
2622505_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	2622505_C
2622357_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	2622357_C
2622381_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	2622381_C
2622361_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	2622361_C
