"Site","Site_year","SampleYear","Tank","Site_Rack","Genotype","Rack.Pos","Treatment","MedNDVI","Label","Site_geno_year","Site_year_tank","eventID"
"Chicken","Chicken_2021",2021,12,"Chicken_1001",321,1001,"+9C",0.08376295119524,"Chicken_2021_5am_1001","Chicken_321_2021","Chicken_2021_12","Ahya_321"
"Chicken","Chicken_2021",2021,12,"Chicken_1002",322,1002,"+9C",0.303374767303467,"Chicken_2021_5am_1002","Chicken_322_2021","Chicken_2021_12","Ahya_322"
"Chicken","Chicken_2021",2021,12,"Chicken_1003",323,1003,"+9C",0.275843620300293,"Chicken_2021_5am_1003","Chicken_323_2021","Chicken_2021_12","Ahya_323"
"Chicken","Chicken_2021",2021,12,"Chicken_1004",324,1004,"+9C",0.160542443394661,"Chicken_2021_5am_1004","Chicken_324_2021","Chicken_2021_12","Ahya_324"
"Chicken","Chicken_2021",2021,12,"Chicken_169",329,169,"+9C",0.447983771562576,"Chicken_2021_5am_169","Chicken_329_2021","Chicken_2021_12","Ahya_329"
"Chicken","Chicken_2021",2021,12,"Chicken_170",330,170,"+9C",0.296902716159821,"Chicken_2021_5am_170","Chicken_330_2021","Chicken_2021_12","Ahya_330"
"Chicken","Chicken_2021",2021,12,"Chicken_893",313,893,"+9C",0.0881996303796768,"Chicken_2021_5am_893","Chicken_313_2021","Chicken_2021_12","Ahya_313"
"Chicken","Chicken_2021",2021,12,"Chicken_894",314,894,"+9C",0.227232113480568,"Chicken_2021_5am_894","Chicken_314_2021","Chicken_2021_12","Ahya_314"
"Chicken","Chicken_2021",2021,12,"Chicken_895",315,895,"+9C",0.163797631859779,"Chicken_2021_5am_895","Chicken_315_2021","Chicken_2021_12","Ahya_315"
"Chicken","Chicken_2021",2021,12,"Chicken_896",316,896,"+9C",0.240561723709106,"Chicken_2021_5am_896","Chicken_316_2021","Chicken_2021_12","Ahya_316"
"Chicken","Chicken_2021",2021,12,"Chicken_57",309,57,"+9C",0.253934144973755,"Chicken_2021_5am_57","Chicken_309_2021","Chicken_2021_12","Ahya_309"
"Chicken","Chicken_2021",2021,12,"Chicken_59",311,59,"+9C",0.246946290135384,"Chicken_2021_5am_59","Chicken_311_2021","Chicken_2021_12","Ahya_311"
"Chicken","Chicken_2021",2021,12,"Chicken_60",312,60,"+9C",0.111265853047371,"Chicken_2021_5am_60","Chicken_312_2021","Chicken_2021_12","Ahya_312"
"Chicken","Chicken_2021",2021,12,"Chicken_661",317,661,"+9C",0.200983107089996,"Chicken_2021_5am_661","Chicken_317_2021","Chicken_2021_12","Ahya_317"
"Chicken","Chicken_2021",2021,12,"Chicken_662",318,662,"+9C",0.148932069540024,"Chicken_2021_5am_662","Chicken_318_2021","Chicken_2021_12","Ahya_318"
"Chicken","Chicken_2021",2021,12,"Chicken_663",319,663,"+9C",0.136662632226944,"Chicken_2021_5am_663","Chicken_319_2021","Chicken_2021_12","Ahya_319"
"Chicken","Chicken_2021",2021,12,"Chicken_664",320,664,"+9C",0.112963870167732,"Chicken_2021_5am_664","Chicken_320_2021","Chicken_2021_12","Ahya_320"
"Chicken","Chicken_2021",2021,12,"Chicken_77",305,77,"+9C",0.176992490887642,"Chicken_2021_5am_77","Chicken_305_2021","Chicken_2021_12","Ahya_305"
"Chicken","Chicken_2021",2021,12,"Chicken_78",306,78,"+9C",0.122974954545498,"Chicken_2021_5am_78","Chicken_306_2021","Chicken_2021_12","Ahya_306"
"Chicken","Chicken_2021",2021,12,"Chicken_79",307,79,"+9C",0.113338068127632,"Chicken_2021_5am_79","Chicken_307_2021","Chicken_2021_12","Ahya_307"
"Chicken","Chicken_2021",2021,12,"Chicken_80",308,80,"+9C",0.119042471051216,"Chicken_2021_5am_80","Chicken_308_2021","Chicken_2021_12","Ahya_308"
"Chicken","Chicken_2021",2021,12,"Chicken_909",325,909,"+9C",0.306793361902237,"Chicken_2021_5am_909","Chicken_325_2021","Chicken_2021_12","Ahya_325"
"Chicken","Chicken_2021",2021,12,"Chicken_910",326,910,"+9C",0.287222057580948,"Chicken_2021_5am_910","Chicken_326_2021","Chicken_2021_12","Ahya_326"
"Chicken","Chicken_2021",2021,12,"Chicken_911",327,911,"+9C",0.254679054021835,"Chicken_2021_5am_911","Chicken_327_2021","Chicken_2021_12","Ahya_327"
"Chicken","Chicken_2021",2021,12,"Chicken_912",328,912,"+9C",0.224937096238136,"Chicken_2021_5am_912","Chicken_328_2021","Chicken_2021_12","Ahya_328"
"Chicken","Chicken_2021",2021,13,"Chicken_261",325,261,"MMM",0.686721742153168,"Chicken_2021_5am_261","Chicken_325_2021","Chicken_2021_13","Ahya_325"
"Chicken","Chicken_2021",2021,13,"Chicken_262",326,262,"MMM",0.632407665252686,"Chicken_2021_5am_262","Chicken_326_2021","Chicken_2021_13","Ahya_326"
"Chicken","Chicken_2021",2021,13,"Chicken_263",327,263,"MMM",0.543090045452118,"Chicken_2021_5am_263","Chicken_327_2021","Chicken_2021_13","Ahya_327"
"Chicken","Chicken_2021",2021,13,"Chicken_264",328,264,"MMM",0.555891454219818,"Chicken_2021_5am_264","Chicken_328_2021","Chicken_2021_13","Ahya_328"
"Chicken","Chicken_2021",2021,13,"Chicken_681",309,681,"MMM",0.601071119308472,"Chicken_2021_5am_681","Chicken_309_2021","Chicken_2021_13","Ahya_309"
"Chicken","Chicken_2021",2021,13,"Chicken_683",311,683,"MMM",0.51059889793396,"Chicken_2021_5am_683","Chicken_311_2021","Chicken_2021_13","Ahya_311"
"Chicken","Chicken_2021",2021,13,"Chicken_684",312,684,"MMM",0.522114098072052,"Chicken_2021_5am_684","Chicken_312_2021","Chicken_2021_13","Ahya_312"
"Chicken","Chicken_2021",2021,13,"Chicken_189",313,189,"MMM",0.631885528564453,"Chicken_2021_5am_189","Chicken_313_2021","Chicken_2021_13","Ahya_313"
"Chicken","Chicken_2021",2021,13,"Chicken_190",314,190,"MMM",0.590247511863708,"Chicken_2021_5am_190","Chicken_314_2021","Chicken_2021_13","Ahya_314"
"Chicken","Chicken_2021",2021,13,"Chicken_191",315,191,"MMM",0.590905547142029,"Chicken_2021_5am_191","Chicken_315_2021","Chicken_2021_13","Ahya_315"
"Chicken","Chicken_2021",2021,13,"Chicken_192",316,192,"MMM",0.689448714256287,"Chicken_2021_5am_192","Chicken_316_2021","Chicken_2021_13","Ahya_316"
"Chicken","Chicken_2021",2021,13,"Chicken_1129",321,1129,"MMM",0.59778368473053,"Chicken_2021_5am_1129","Chicken_321_2021","Chicken_2021_13","Ahya_321"
"Chicken","Chicken_2021",2021,13,"Chicken_1130",322,1130,"MMM",0.619974136352539,"Chicken_2021_5am_1130","Chicken_322_2021","Chicken_2021_13","Ahya_322"
"Chicken","Chicken_2021",2021,13,"Chicken_1131",323,1131,"MMM",0.588675320148468,"Chicken_2021_5am_1131","Chicken_323_2021","Chicken_2021_13","Ahya_323"
"Chicken","Chicken_2021",2021,13,"Chicken_1132",324,1132,"MMM",0.552197873592377,"Chicken_2021_5am_1132","Chicken_324_2021","Chicken_2021_13","Ahya_324"
"Chicken","Chicken_2021",2021,13,"Chicken_993",329,993,"MMM",0.527600765228271,"Chicken_2021_5am_993","Chicken_329_2021","Chicken_2021_13","Ahya_329"
"Chicken","Chicken_2021",2021,13,"Chicken_994",330,994,"MMM",0.479074060916901,"Chicken_2021_5am_994","Chicken_330_2021","Chicken_2021_13","Ahya_330"
"Chicken","Chicken_2021",2021,13,"Chicken_137",317,137,"MMM",0.641620874404907,"Chicken_2021_5am_137","Chicken_317_2021","Chicken_2021_13","Ahya_317"
"Chicken","Chicken_2021",2021,13,"Chicken_138",318,138,"MMM",0.435284376144409,"Chicken_2021_5am_138","Chicken_318_2021","Chicken_2021_13","Ahya_318"
"Chicken","Chicken_2021",2021,13,"Chicken_139",319,139,"MMM",0.621780872344971,"Chicken_2021_5am_139","Chicken_319_2021","Chicken_2021_13","Ahya_319"
"Chicken","Chicken_2021",2021,13,"Chicken_140",320,140,"MMM",0.538005113601685,"Chicken_2021_5am_140","Chicken_320_2021","Chicken_2021_13","Ahya_320"
"Chicken","Chicken_2021",2021,13,"Chicken_221",301,221,"MMM",0.557178139686584,"Chicken_2021_5am_221","Chicken_301_2021","Chicken_2021_13","Ahya_301"
"Chicken","Chicken_2021",2021,13,"Chicken_222",302,222,"MMM",0.625977873802185,"Chicken_2021_5am_222","Chicken_302_2021","Chicken_2021_13","Ahya_302"
"Chicken","Chicken_2021",2021,13,"Chicken_223",303,223,"MMM",0.658601403236389,"Chicken_2021_5am_223","Chicken_303_2021","Chicken_2021_13","Ahya_303"
"Chicken","Chicken_2021",2021,13,"Chicken_224",304,224,"MMM",0.682620882987976,"Chicken_2021_5am_224","Chicken_304_2021","Chicken_2021_13","Ahya_304"
"Chicken","Chicken_2021",2021,13,"Chicken_725",305,725,"MMM",0.499296009540558,"Chicken_2021_5am_725","Chicken_305_2021","Chicken_2021_13","Ahya_305"
"Chicken","Chicken_2021",2021,13,"Chicken_726",306,726,"MMM",0.503320634365082,"Chicken_2021_5am_726","Chicken_306_2021","Chicken_2021_13","Ahya_306"
"Chicken","Chicken_2021",2021,13,"Chicken_727",307,727,"MMM",0.542398512363434,"Chicken_2021_5am_727","Chicken_307_2021","Chicken_2021_13","Ahya_307"
"Chicken","Chicken_2021",2021,13,"Chicken_728",308,728,"MMM",0.597285151481628,"Chicken_2021_5am_728","Chicken_308_2021","Chicken_2021_13","Ahya_308"
"Chicken","Chicken_2021",2021,14,"Chicken_409",329,409,"+3C",0.543260335922241,"Chicken_2021_5am_409","Chicken_329_2021","Chicken_2021_14","Ahya_329"
"Chicken","Chicken_2021",2021,14,"Chicken_410",330,410,"+3C",0.700911641120911,"Chicken_2021_5am_410","Chicken_330_2021","Chicken_2021_14","Ahya_330"
"Chicken","Chicken_2021",2021,14,"Chicken_1013",301,1013,"+3C",0.743583738803864,"Chicken_2021_5am_1013","Chicken_301_2021","Chicken_2021_14","Ahya_301"
"Chicken","Chicken_2021",2021,14,"Chicken_1014",302,1014,"+3C",0.600116372108459,"Chicken_2021_5am_1014","Chicken_302_2021","Chicken_2021_14","Ahya_302"
"Chicken","Chicken_2021",2021,14,"Chicken_1015",303,1015,"+3C",0.700172245502472,"Chicken_2021_5am_1015","Chicken_303_2021","Chicken_2021_14","Ahya_303"
"Chicken","Chicken_2021",2021,14,"Chicken_1016",304,1016,"+3C",0.68336409330368,"Chicken_2021_5am_1016","Chicken_304_2021","Chicken_2021_14","Ahya_304"
"Chicken","Chicken_2021",2021,14,"Chicken_349",325,349,"+3C",0.644679367542267,"Chicken_2021_5am_349","Chicken_325_2021","Chicken_2021_14","Ahya_325"
"Chicken","Chicken_2021",2021,14,"Chicken_350",326,350,"+3C",0.609709799289703,"Chicken_2021_5am_350","Chicken_326_2021","Chicken_2021_14","Ahya_326"
"Chicken","Chicken_2021",2021,14,"Chicken_351",327,351,"+3C",0.588617444038391,"Chicken_2021_5am_351","Chicken_327_2021","Chicken_2021_14","Ahya_327"
"Chicken","Chicken_2021",2021,14,"Chicken_352",328,352,"+3C",0.577460050582886,"Chicken_2021_5am_352","Chicken_328_2021","Chicken_2021_14","Ahya_328"
"Chicken","Chicken_2021",2021,14,"Chicken_801",309,801,"+3C",0.532847583293915,"Chicken_2021_5am_801","Chicken_309_2021","Chicken_2021_14","Ahya_309"
"Chicken","Chicken_2021",2021,14,"Chicken_803",311,803,"+3C",0.566655993461609,"Chicken_2021_5am_803","Chicken_311_2021","Chicken_2021_14","Ahya_311"
