"Site.name","Variable","Metric","Value","Depth","Source","Spat_res","Time_res","Period","Multi_level","Depth.adjusted"
"Davies","Temperature","DTR",0.252167246150345,-9,"eReefs_GBR1_Hydro","1km","hourly","2014-2022","Yes",7.5
"Davies","Temperature","DTR",0.290564077200949,-5.35,"eReefs_GBR1_Hydro","1km","hourly","2014-2022","Yes",3.85
"Davies","Temperature","DTR",0.459626600129988,-2.35,"eReefs_GBR1_Hydro","1km","hourly","2014-2022","Yes",0.85
"Davies","Temperature","DTR",0.530652223097543,-0.5,"eReefs_GBR1_Hydro","1km","hourly","2014-2022","Yes",-1
"East Cay","Temperature","DTR",0.161583040891852,-13,"eReefs_GBR1_Hydro","1km","hourly","2014-2022","Yes",11.87
"East Cay","Temperature","DTR",0.186779329355293,-9,"eReefs_GBR1_Hydro","1km","hourly","2014-2022","Yes",7.87
"East Cay","Temperature","DTR",0.233752716075545,-5.35,"eReefs_GBR1_Hydro","1km","hourly","2014-2022","Yes",4.22
"East Cay","Temperature","DTR",0.331402829927057,-2.35,"eReefs_GBR1_Hydro","1km","hourly","2014-2022","Yes",1.22
"East Cay","Temperature","DTR",0.428337868635535,-0.5,"eReefs_GBR1_Hydro","1km","hourly","2014-2022","Yes",-0.63
"Fitzroy Island","Temperature","DTR",0.20756141030892,-13,"eReefs_GBR1_Hydro","1km","hourly","2014-2022","Yes",11.43
"Fitzroy Island","Temperature","DTR",0.266392990859119,-9,"eReefs_GBR1_Hydro","1km","hourly","2014-2022","Yes",7.43
"Fitzroy Island","Temperature","DTR",0.373941656805311,-5.35,"eReefs_GBR1_Hydro","1km","hourly","2014-2022","Yes",3.78
"Fitzroy Island","Temperature","DTR",0.53603664144541,-2.35,"eReefs_GBR1_Hydro","1km","hourly","2014-2022","Yes",0.78
"Fitzroy Island","Temperature","DTR",0.662860051674825,-0.5,"eReefs_GBR1_Hydro","1km","hourly","2014-2022","Yes",-1.07
"Fitzroy Reef","Temperature","DTR",0.205103791735983,-13,"eReefs_GBR1_Hydro","1km","hourly","2014-2022","Yes",11.49
"Fitzroy Reef","Temperature","DTR",0.222230052615653,-9,"eReefs_GBR1_Hydro","1km","hourly","2014-2022","Yes",7.49
"Fitzroy Reef","Temperature","DTR",0.21958323153187,-5.35,"eReefs_GBR1_Hydro","1km","hourly","2014-2022","Yes",3.84
